epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,281.525,0.68286,1.12924,0.88854,1.03851,0.82044,0.73893,0.80074,0.61025,0.85096,0.71587,0.80001,0.63898,0.88838,1.66069,1.03176,1.24015,0.000792032,0.000792032,0.000792032
31,291.394,0.73014,1.16345,0.92236,1.07462,0.89245,0.74679,0.84308,0.64153,0.8906,0.74958,0.82186,0.68132,0.86887,1.74484,0.94901,1.23282,0.000781033,0.000781033,0.000781033
32,299.159,0.70192,1.10154,0.8984,1.05583,0.93287,0.70882,0.8344,0.65722,0.84135,0.79828,0.83408,0.64925,0.89514,2.05516,1.01082,1.26943,0.000770034,0.000770034,0.000770034
33,310.106,0.71907,1.09942,0.9232,1.07143,0.86528,0.72075,0.82785,0.64116,0.86528,0.72075,0.83041,0.63129,0.92631,2.35362,1.0607,1.3075,0.000759035,0.000759035,0.000759035
34,317.152,0.7009,1.11933,0.87623,1.05038,0.88801,0.8002,0.85388,0.68189,0.88062,0.812,0.85825,0.67629,0.83724,1.92408,1.01202,1.21174,0.000748036,0.000748036,0.000748036
35,327.143,0.70719,1.17879,0.88756,1.05019,0.91965,0.77651,0.88367,0.68299,0.89388,0.79117,0.87414,0.70669,0.81984,1.83958,0.98855,1.19253,0.000737037,0.000737037,0.000737037
36,335.074,0.69453,1.02036,0.86037,1.05709,0.8533,0.80301,0.84553,0.66326,0.8533,0.80301,0.84051,0.67567,0.89381,2.47923,1.08449,1.2193,0.000726038,0.000726038,0.000726038
37,345.289,0.66805,1.13696,0.89334,1.05479,0.97411,0.68647,0.81908,0.6337,0.9791,0.6903,0.8231,0.64923,0.93739,2.70232,1.22656,1.25354,0.00071504,0.00071504,0.00071504
38,353.277,0.71232,1.1071,0.8798,1.08439,0.89028,0.68889,0.79788,0.59703,0.89028,0.68889,0.78541,0.62331,0.94597,2.12314,1.04275,1.29201,0.000704041,0.000704041,0.000704041
39,363.012,0.63416,1.00393,0.79394,1.04084,0.83302,0.72427,0.77582,0.59201,0.81795,0.71108,0.7464,0.60177,0.91586,2.09069,0.92039,1.28358,0.000693042,0.000693042,0.000693042
40,370.29,0.63198,1.01549,0.76597,1.0548,0.88553,0.69759,0.78355,0.60877,0.88553,0.69759,0.78247,0.63839,0.90691,1.78964,1.01076,1.29699,0.000682043,0.000682043,0.000682043
41,379.518,0.62126,1.06617,0.76829,1.00038,0.92706,0.68518,0.79677,0.59697,0.74436,0.77064,0.77996,0.62883,0.94225,1.76377,1.01315,1.31825,0.000671044,0.000671044,0.000671044
42,391.091,0.67164,1.15393,0.80063,1.06073,0.92788,0.72423,0.80775,0.61713,0.92814,0.72762,0.80524,0.62862,0.95401,1.80846,0.97186,1.29651,0.000660045,0.000660045,0.000660045
43,398.793,0.65118,1.08826,0.79823,1.05607,0.84356,0.70315,0.78894,0.58966,0.85907,0.71845,0.79244,0.60828,0.97093,2.04103,1.0689,1.32378,0.000649046,0.000649046,0.000649046
44,408.443,0.70877,1.12741,0.83169,1.03114,0.97984,0.72151,0.84782,0.64944,0.85817,0.78471,0.8169,0.64026,0.90091,2.39989,0.86075,1.24769,0.000638047,0.000638047,0.000638047
45,416.278,0.62794,1.01585,0.7179,1.00301,0.8633,0.82155,0.85283,0.67496,0.83947,0.80894,0.81805,0.66259,0.83488,2.27424,0.84745,1.19971,0.000627048,0.000627048,0.000627048
46,426.453,0.70343,1.14478,0.84351,1.07653,0.82072,0.83587,0.85342,0.6846,0.78822,0.80587,0.7894,0.65107,0.80833,1.84878,0.84214,1.16118,0.000616049,0.000616049,0.000616049
47,433.546,0.63736,1.05062,0.79435,1.03179,0.8262,0.78149,0.86077,0.6928,0.81772,0.79025,0.83301,0.6715,0.82704,1.78958,0.83377,1.16218,0.000605051,0.000605051,0.000605051
48,444.084,0.61124,1.14238,0.76625,1.0289,0.82571,0.79211,0.83115,0.63191,0.82243,0.81091,0.80707,0.61962,0.89827,2.16319,0.95543,1.22524,0.000594052,0.000594052,0.000594052
49,450.371,0.61085,0.97325,0.70547,0.99689,0.927,0.7592,0.81468,0.62613,0.87688,0.75197,0.76577,0.56794,0.88431,1.99247,1.00149,1.22561,0.000583053,0.000583053,0.000583053
50,461.684,0.60403,0.92982,0.69173,1.01164,0.90701,0.71756,0.816,0.63965,0.90701,0.71756,0.79268,0.62249,0.83998,1.99149,1.02613,1.18667,0.000572054,0.000572054,0.000572054
51,468.803,0.58264,0.9173,0.69263,1.02234,0.86407,0.71112,0.8133,0.62757,0.89465,0.73075,0.79929,0.61746,0.8736,2.22751,0.96744,1.25232,0.000561055,0.000561055,0.000561055
52,478.784,0.6462,1.06678,0.73806,1.04753,0.83184,0.76048,0.8042,0.61762,0.85197,0.77366,0.80705,0.62919,0.9102,2.23916,0.94104,1.29033,0.000550056,0.000550056,0.000550056
53,486.01,0.61603,0.94942,0.69904,1.00567,0.93511,0.70335,0.8054,0.63412,0.85569,0.74779,0.79167,0.60879,0.91803,2.22182,0.96676,1.29788,0.000539057,0.000539057,0.000539057
54,496.238,0.59574,0.91326,0.68096,1.00492,0.78968,0.79092,0.82684,0.63714,0.85504,0.73786,0.79278,0.5969,0.89723,2.11218,1.01123,1.2814,0.000528058,0.000528058,0.000528058
55,503.366,0.61376,0.89877,0.69233,1.03236,0.80344,0.83329,0.84093,0.65447,0.82213,0.78772,0.80041,0.62714,0.9381,1.99378,0.89423,1.2676,0.000517059,0.000517059,0.000517059
56,513.003,0.58523,0.92852,0.64303,0.9949,0.94069,0.74055,0.84442,0.63331,0.91809,0.72805,0.79778,0.63511,0.95907,1.99269,0.92112,1.25591,0.00050606,0.00050606,0.00050606
57,520.115,0.58239,0.86049,0.69468,1.0109,0.91137,0.73171,0.82021,0.6544,0.87716,0.72236,0.78008,0.64285,0.89766,2.09033,0.95579,1.2129,0.000495062,0.000495062,0.000495062
58,529.87,0.56763,0.89834,0.64801,1.018,0.9057,0.74788,0.81669,0.64184,0.88674,0.73554,0.78098,0.64303,0.87241,2.3897,0.97546,1.20264,0.000484063,0.000484063,0.000484063
59,539.247,0.54087,0.94934,0.61576,0.9846,0.88555,0.75258,0.84484,0.67251,0.83866,0.76711,0.80765,0.67197,0.80801,2.39647,0.87445,1.14562,0.000473064,0.000473064,0.000473064
60,551.927,0.5836,0.88151,0.63645,0.99074,0.91237,0.8156,0.86303,0.67614,0.89202,0.80261,0.83056,0.69996,0.83816,2.19627,0.75775,1.18648,0.000462065,0.000462065,0.000462065
61,558.926,0.60171,0.86692,0.65402,1.01713,0.96205,0.82544,0.86896,0.67273,0.94038,0.81284,0.83869,0.70569,0.90031,2.12131,0.75284,1.21028,0.000451066,0.000451066,0.000451066
62,568.976,0.56972,0.88138,0.63949,0.99353,0.91831,0.86271,0.88591,0.69656,0.89333,0.8525,0.85791,0.70471,0.85453,2.14728,0.76909,1.18715,0.000440067,0.000440067,0.000440067
63,576.633,0.54721,0.90439,0.61885,0.96874,0.90179,0.83432,0.87927,0.69494,0.89784,0.79303,0.82923,0.67187,0.86669,2.22121,0.7873,1.20359,0.000429068,0.000429068,0.000429068
64,586.752,0.5443,0.95704,0.61392,0.99182,0.88401,0.83013,0.86125,0.67842,0.87575,0.76093,0.79849,0.62745,0.88239,2.17465,0.77065,1.21793,0.000418069,0.000418069,0.000418069
65,593.877,0.55067,0.86655,0.60207,0.96982,0.89516,0.82391,0.87824,0.69172,0.82657,0.76154,0.77462,0.61358,0.83795,2.06911,0.74773,1.18424,0.00040707,0.00040707,0.00040707
66,604.07,0.54443,0.76986,0.5987,1.00031,0.91541,0.84888,0.89214,0.69359,0.93601,0.86221,0.87216,0.70465,0.81587,1.84896,0.74921,1.20844,0.000396071,0.000396071,0.000396071
67,610.772,0.55755,0.85855,0.61625,0.99226,0.87556,0.78322,0.8586,0.64927,0.89931,0.79634,0.84411,0.68182,0.8798,1.61226,0.78605,1.25564,0.000385073,0.000385073,0.000385073
68,621.081,0.55822,0.78927,0.60855,0.99044,0.85288,0.78609,0.83144,0.65874,0.87432,0.79942,0.81998,0.67066,0.8212,2.19821,0.77162,1.18173,0.000374074,0.000374074,0.000374074
69,628.489,0.55521,0.90046,0.61502,1.02824,0.81112,0.79116,0.81288,0.65987,0.82874,0.80446,0.81322,0.65665,0.81414,2.23672,0.76798,1.16796,0.000363075,0.000363075,0.000363075
70,638.045,0.50908,0.86132,0.5942,0.96787,0.90841,0.69932,0.82204,0.63616,0.90623,0.71281,0.81314,0.65115,0.88582,2.17187,0.79224,1.21711,0.000352076,0.000352076,0.000352076
71,646.287,0.5514,0.82369,0.57777,0.98304,0.84088,0.79491,0.83172,0.64321,0.82905,0.78626,0.80214,0.65165,0.89376,2.10596,0.74579,1.23786,0.000341077,0.000341077,0.000341077
72,656.217,0.53798,0.92347,0.58336,0.97118,0.86515,0.79654,0.87089,0.66629,0.85373,0.80072,0.84058,0.68583,0.83457,1.95307,0.743,1.18287,0.000330078,0.000330078,0.000330078
73,664.349,0.54852,0.86652,0.59212,0.98455,0.92498,0.82967,0.89381,0.68721,0.9062,0.83439,0.86287,0.69833,0.81235,1.84609,0.72059,1.17124,0.000319079,0.000319079,0.000319079
74,673.962,0.53524,0.7896,0.56108,0.97458,0.9876,0.83198,0.90436,0.70308,0.93235,0.82757,0.85196,0.70224,0.81037,1.79044,0.72099,1.18344,0.00030808,0.00030808,0.00030808
75,681.834,0.55841,0.85572,0.62765,1.00391,0.97143,0.82481,0.90064,0.69227,0.90144,0.77269,0.83632,0.67909,0.81175,1.79781,0.71836,1.18827,0.000297081,0.000297081,0.000297081
76,690.671,0.51822,0.86123,0.57488,0.97009,0.95463,0.73141,0.85212,0.67819,0.92679,0.71808,0.81144,0.65256,0.84036,1.97968,0.78717,1.21054,0.000286083,0.000286083,0.000286083
77,702.905,0.53507,0.80615,0.5672,0.98865,0.90392,0.74175,0.82473,0.66059,0.87711,0.72848,0.8018,0.6581,0.84081,2.12213,0.76915,1.19843,0.000275084,0.000275084,0.000275084
78,713.838,0.544,0.82025,0.56286,0.97891,0.87611,0.81094,0.83092,0.66973,0.82954,0.77583,0.78964,0.66374,0.84214,1.85716,0.73837,1.19939,0.000264085,0.000264085,0.000264085
79,720.622,0.49766,0.80021,0.54253,0.98161,0.88343,0.8309,0.86187,0.65428,0.84652,0.81913,0.81816,0.66463,0.85104,1.73403,0.75861,1.20378,0.000253086,0.000253086,0.000253086
80,730.063,0.51436,0.77535,0.55723,0.97548,0.95166,0.7938,0.86433,0.66646,0.89671,0.759,0.82252,0.6923,0.86119,1.80325,0.8104,1.21287,0.000242087,0.000242087,0.000242087
81,738.304,0.51977,0.78591,0.55852,0.98039,0.95135,0.80349,0.8674,0.67482,0.90079,0.76811,0.82799,0.68166,0.86555,1.9847,0.83076,1.20852,0.000231088,0.000231088,0.000231088
82,748.347,0.48253,0.7639,0.50686,0.95511,0.96291,0.8073,0.87135,0.67509,0.93422,0.7698,0.83243,0.69525,0.85723,1.97515,0.84197,1.20128,0.000220089,0.000220089,0.000220089
83,756.837,0.47354,0.80294,0.51881,0.95127,0.97984,0.80891,0.87624,0.70525,0.93149,0.77443,0.83249,0.70492,0.84823,1.70691,0.7819,1.2065,0.00020909,0.00020909,0.00020909
